dates,city,season,host_team,visiting_team,toss_winner,toss_decision,venue,result,winner,player_of_match,match_id
2010-04-13,Chennai,2010,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,R Ashwin,162.0
2010-04-13,Mumbai,2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Brabourne Stadium,1,Mumbai Indians,KA Pollard,163.0
2010-04-14,Jaipur,2010,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Sawai Mansingh Stadium,1,Royal Challengers Bangalore,KP Pietersen,164.0
2010-04-15,Chennai,2010,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Delhi Daredevils,G Gambhir,165.0
2010-04-16,Dharamsala,2010,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Himachal Pradesh Cricket Association Stadium,1,Deccan Chargers,RG Sharma,166.0
2010-04-17,Kolkata,2010,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,1,Kolkata Knight Riders,JD Unadkat,167.0
2010-04-17,Bangalore,2010,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Mumbai Indians,R McLaren,168.0
2010-04-18,Dharamsala,2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Himachal Pradesh Cricket Association Stadium,1,Chennai Super Kings,MS Dhoni,169.0
2010-04-18,Delhi,2010,Delhi Daredevils,Deccan Chargers,Deccan Chargers,bat,Feroz Shah Kotla,1,Deccan Chargers,A Symonds,170.0
2010-04-19,Kolkata,2010,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,1,Kolkata Knight Riders,M Kartik,171.0
2010-04-21,Mumbai,2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Dr DY Patil Sports Academy,1,Mumbai Indians,KA Pollard,172.0
2010-04-22,Mumbai,2010,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Dr DY Patil Sports Academy,1,Chennai Super Kings,DE Bollinger,173.0
2010-04-24,Mumbai,2010,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Dr DY Patil Sports Academy,1,Royal Challengers Bangalore,A Kumble,174.0
2010-04-25,Mumbai,2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Dr DY Patil Sports Academy,1,Chennai Super Kings,SK Raina,175.0
2011-04-08,Chennai,2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,S Anirudha,176.0
2011-04-09,Hyderabad,2011,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",1,Rajasthan Royals,SK Trivedi,177.0
2011-04-09,Kochi,2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Nehru Stadium,1,Royal Challengers Bangalore,AB de Villiers,178.0
2011-04-10,Mumbai,2011,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy,1,Pune Warriors,SB Wagh,179.0
2011-04-10,Delhi,2011,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Feroz Shah Kotla,1,Mumbai Indians,SL Malinga,180.0
2011-04-11,Kolkata,2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens,1,Kolkata Knight Riders,JH Kallis,181.0
2011-04-12,Jaipur,2011,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,SK Warne,182.0
2011-04-12,Bangalore,2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,1,Mumbai Indians,SR Tendulkar,183.0
2011-04-13,Mumbai,2011,Pune Warriors,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Dr DY Patil Sports Academy,1,Pune Warriors,MD Mishra,184.0
2011-04-13,Chandigarh,2011,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,PC Valthaty,185.0
2011-04-14,Hyderabad,2011,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,DW Steyn,186.0
2011-04-15,Jaipur,2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,1,Kolkata Knight Riders,G Gambhir,187.0
2011-04-15,Mumbai,2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Wankhede Stadium,1,Kochi Tuskers Kerala,BB McCullum,188.0
2011-04-16,Chennai,2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,MEK Hussey,189.0
2011-04-16,Hyderabad,2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,PC Valthaty,190.0
2011-04-17,Mumbai,2011,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Dr DY Patil Sports Academy,1,Delhi Daredevils,Yuvraj Singh,191.0
2011-04-17,Kolkata,2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Eden Gardens,1,Kolkata Knight Riders,L Balaji,192.0
2011-04-18,Kochi,2011,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,field,Nehru Stadium,1,Kochi Tuskers Kerala,BB McCullum,193.0
2011-04-19,Delhi,2011,Delhi Daredevils,Deccan Chargers,Deccan Chargers,bat,Feroz Shah Kotla,1,Deccan Chargers,S Sohal,194.0
2011-04-20,Mumbai,2011,Mumbai Indians,Pune Warriors,Pune Warriors,bat,Wankhede Stadium,1,Mumbai Indians,MM Patel,195.0
2011-04-20,Kolkata,2011,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Eden Gardens,1,Kochi Tuskers Kerala,DPMD Jayawardene,196.0
2011-04-21,Chandigarh,2011,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,SE Marsh,197.0
2011-04-22,Kolkata,2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,1,Royal Challengers Bangalore,CH Gayle,198.0
2011-04-22,Mumbai,2011,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,1,Mumbai Indians,Harbhajan Singh,199.0
2011-04-23,Delhi,2011,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Feroz Shah Kotla,1,Delhi Daredevils,DA Warner,200.0
2011-04-24,Jaipur,2011,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Rajasthan Royals,SK Warne,201.0
2011-04-24,Hyderabad,2011,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,SL Malinga,202.0
2011-04-25,Chennai,2011,Chennai Super Kings,Pune Warriors,Pune Warriors,field,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,MEK Hussey,203.0
2011-04-26,Delhi,2011,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,1,Royal Challengers Bangalore,V Kohli,204.0
2011-04-27,Mumbai,2011,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Dr DY Patil Sports Academy,1,Chennai Super Kings,DE Bollinger,205.0
2011-04-27,Kochi,2011,Kochi Tuskers Kerala,Deccan Chargers,Kochi Tuskers Kerala,field,Nehru Stadium,1,Deccan Chargers,I Sharma,206.0
2011-04-28,Delhi,2011,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,Feroz Shah Kotla,1,Kolkata Knight Riders,MK Tiwary,207.0
2011-04-29,Bangalore,2011,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,V Kohli,208.0
2011-04-29,Jaipur,2011,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Rajasthan Royals,J Botha,209.0
2011-04-30,Kochi,2011,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,bat,Nehru Stadium,1,Delhi Daredevils,V Sehwag,210.0
2011-04-30,Kolkata,2011,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Eden Gardens,1,Kolkata Knight Riders,Iqbal Abdulla,211.0
2011-05-01,Chennai,2011,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,JA Morkel,212.0
2011-05-01,Jaipur,2011,Rajasthan Royals,Pune Warriors,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Rajasthan Royals,LRPL Taylor,213.0
2011-05-02,Mumbai,2011,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Wankhede Stadium,1,Mumbai Indians,KA Pollard,214.0
2011-05-02,Delhi,2011,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Feroz Shah Kotla,1,Kochi Tuskers Kerala,P Parameswaran,215.0
2011-05-03,Hyderabad,2011,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,YK Pathan,216.0
2011-05-04,Chennai,2011,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,MEK Hussey,217.0
2011-05-04,Mumbai,2011,Pune Warriors,Mumbai Indians,Pune Warriors,field,Dr DY Patil Sports Academy,1,Mumbai Indians,R Sharma,218.0
2011-05-05,Kochi,2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Nehru Stadium,1,Kochi Tuskers Kerala,BJ Hodge,219.0
2011-05-05,Hyderabad,2011,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,"Rajiv Gandhi International Stadium, Uppal",1,Delhi Daredevils,V Sehwag,220.0
2011-05-06,Bangalore,2011,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,CH Gayle,221.0
2011-05-07,Kolkata,2011,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,1,Kolkata Knight Riders,Iqbal Abdulla,222.0
2011-05-07,Mumbai,2011,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium,1,Mumbai Indians,AT Rayudu,223.0
2011-05-08,Chandigarh,2011,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,R Sharma,224.0
2011-05-08,Bangalore,2011,Royal Challengers Bangalore,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,CH Gayle,225.0
2011-05-09,Jaipur,2011,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Chennai Super Kings,M Vijay,226.0
2011-05-10,Chandigarh,2011,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,BA Bhatt,227.0
2011-05-10,Hyderabad,2011,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",1,Pune Warriors,MR Marsh,228.0
2011-05-11,Jaipur,2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,1,Royal Challengers Bangalore,S Aravind,229.0
2011-05-12,Chennai,2011,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,MS Dhoni,230.0
2011-05-13,Indore,2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium,1,Kings XI Punjab,KD Karthik,231.0
2011-05-14,Mumbai,2011,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,Wankhede Stadium,1,Deccan Chargers,A Mishra,232.0
2011-05-14,Bangalore,2011,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,CH Gayle,233.0
2011-05-15,Dharamsala,2011,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,PP Chawla,234.0
2011-05-15,Indore,2011,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,field,Holkar Cricket Stadium,1,Kochi Tuskers Kerala,BJ Hodge,235.0
2011-05-16,Mumbai,2011,Pune Warriors,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,1,Deccan Chargers,A Mishra,236.0
2011-05-17,Dharamsala,2011,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,AC Gilchrist,237.0
2011-05-18,Chennai,2011,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,WP Saha,238.0
2011-05-19,Mumbai,2011,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Dr DY Patil Sports Academy,1,Kolkata Knight Riders,YK Pathan,239.0
2011-05-20,Mumbai,2011,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Wankhede Stadium,1,Rajasthan Royals,SR Watson,240.0
2011-05-21,Dharamsala,2011,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,Himachal Pradesh Cricket Association Stadium,1,Deccan Chargers,S Dhawan,241.0
2011-05-21,Delhi,2011,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla,0,no result,,242.0
2011-05-22,Bangalore,2011,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,CH Gayle,243.0
2011-05-22,Kolkata,2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Eden Gardens,1,Mumbai Indians,JEC Franklin,244.0
2011-05-24,Mumbai,2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,1,Chennai Super Kings,SK Raina,245.0
2011-05-25,Mumbai,2011,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,1,Mumbai Indians,MM Patel,246.0
2011-05-27,Chennai,2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,CH Gayle,247.0
2011-05-28,Chennai,2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,M Vijay,248.0
2012-04-04,Chennai,2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",1,Mumbai Indians,RE Levi,249.0
2012-04-05,Kolkata,2012,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens,1,Delhi Daredevils,IK Pathan,250.0
2012-04-06,Mumbai,2012,Mumbai Indians,Pune Warriors,Mumbai Indians,field,Wankhede Stadium,1,Pune Warriors,SPD Smith,251.0
2012-04-06,Jaipur,2012,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Sawai Mansingh Stadium,1,Rajasthan Royals,AM Rahane,252.0
2012-04-07,Visakhapatnam,2012,Deccan Chargers,Chennai Super Kings,Deccan Chargers,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,RA Jadeja,253.0
2012-04-07,Bangalore,2012,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,AB de Villiers,254.0
2012-04-08,Pune,2012,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Subrata Roy Sahara Stadium,1,Pune Warriors,MN Samuels,255.0
2012-04-08,Jaipur,2012,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,1,Rajasthan Royals,BJ Hodge,256.0
2012-04-09,Visakhapatnam,2012,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,RG Sharma,257.0
2012-04-10,Bangalore,2012,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Kolkata Knight Riders,L Balaji,258.0
2012-04-10,Delhi,2012,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,field,Feroz Shah Kotla,1,Delhi Daredevils,M Morkel,259.0
2012-04-11,Mumbai,2012,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,1,Mumbai Indians,KA Pollard,260.0
2012-04-12 00:00:00,Chennai,2012,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,F du Plessis,261.0
2012-04-12,Chandigarh,2012,Kings XI Punjab,Pune Warriors,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,AD Mascarenhas,262.0
2012-04-13,Kolkata,2012,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,1,Kolkata Knight Riders,Shakib Al Hasan,263.0
2012-04-14,Pune,2012,Pune Warriors,Chennai Super Kings,Chennai Super Kings,bat,Subrata Roy Sahara Stadium,1,Pune Warriors,JD Ryder,264.0
2012-04-15,Kolkata,2012,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Eden Gardens,1,Kings XI Punjab,SP Narine,265.0
2012-04-15,Bangalore,2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,M Chinnaswamy Stadium,1,Rajasthan Royals,AM Rahane,266.0
2012-04-16,Mumbai,2012,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium,1,Delhi Daredevils,S Nadeem,267.0
2012-04-17,Jaipur,2012,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,BJ Hodge,268.0
2012-04-17,Bangalore,2012,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,bat,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,CH Gayle,269.0
2012-04-18,Chandigarh,2012,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,G Gambhir,270.0
2012-04-19,Chennai,2012,Chennai Super Kings,Pune Warriors,Pune Warriors,field,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,KMDN Kulasekara,271.0
2012-04-19,Delhi,2012,Delhi Daredevils,Deccan Chargers,Deccan Chargers,bat,Feroz Shah Kotla,1,Delhi Daredevils,KP Pietersen,272.0
2012-04-20,Chandigarh,2012,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,CH Gayle,273.0
2012-04-21,Delhi,2012,Delhi Daredevils,Pune Warriors,Delhi Daredevils,field,Feroz Shah Kotla,1,Pune Warriors,SC Ganguly,274.0
2012-04-21,Chennai,2012,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,F du Plessis,275.0
2012-04-22,Cuttack,2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,1,Kolkata Knight Riders,B Lee,276.0
2012-04-22,Mumbai,2012,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Wankhede Stadium,1,Kings XI Punjab,SE Marsh,277.0
2012-04-23,Jaipur,2012,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Royal Challengers Bangalore,AB de Villiers,278.0
2012-04-24,Pune,2012,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium,1,Delhi Daredevils,V Sehwag,279.0
2012-04-25,Chandigarh,2012,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,AT Rayudu,280.0
2012-04-26,Pune,2012,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium,1,Deccan Chargers,CL White,281.0
2012-04-27,Delhi,2012,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Feroz Shah Kotla,1,Delhi Daredevils,V Sehwag,282.0
2012-04-28,Kolkata,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens,1,Kolkata Knight Riders,G Gambhir,283.0
2012-04-28,Chennai,2012,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Mandeep Singh,284.0
2012-04-29,Delhi,2012,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Feroz Shah Kotla,1,Delhi Daredevils,V Sehwag,285.0
2012-04-29,Mumbai,2012,Mumbai Indians,Deccan Chargers,Mumbai Indians,field,Wankhede Stadium,1,Mumbai Indians,DW Steyn,286.0
2012-04-30,Chennai,2012,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,G Gambhir,287.0
2012-05-01,Jaipur,2012,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Sawai Mansingh Stadium,1,Delhi Daredevils,P Negi,288.0
2012-05-01,Cuttack,2012,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Barabati Stadium,1,Deccan Chargers,KC Sangakkara,289.0
2012-05-02,Bangalore,2012,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,1,Kings XI Punjab,Azhar Mahmood,290.0
2012-05-03,Pune,2012,Pune Warriors,Mumbai Indians,Mumbai Indians,bat,Subrata Roy Sahara Stadium,1,Mumbai Indians,SL Malinga,291.0
2012-05-04,Chennai,2012,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,SK Raina,292.0
2012-05-05,Chandigarh,2012,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,bat,"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,SR Watson,293.0
2012-05-05,Kolkata,2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Eden Gardens,1,Kolkata Knight Riders,SP Narine,294.0
2012-05-06,Mumbai,2012,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium,1,Mumbai Indians,DR Smith,295.0
2012-05-06,Bangalore,2012,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,AB de Villiers,296.0
2012-05-07,Delhi,2012,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,1,Kolkata Knight Riders,JH Kallis,297.0
2012-05-08,Hyderabad,2012,Deccan Chargers,Kings XI Punjab,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Mandeep Singh,298.0
2012-05-08,Pune,2012,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Subrata Roy Sahara Stadium,1,Rajasthan Royals,SR Watson,299.0
2012-05-09,Mumbai,2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Wankhede Stadium,1,Royal Challengers Bangalore,CH Gayle,300.0
2012-05-10,Hyderabad,2012,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",1,Delhi Daredevils,DA Warner,301.0
2012-05-10,Jaipur,2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sawai Mansingh Stadium,1,Chennai Super Kings,BW Hilfenhaus,302.0
2012-05-11,Pune,2012,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,field,Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,CH Gayle,303.0
2012-05-12,Chennai,2012,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,BW Hilfenhaus,304.0
2012-05-12,Kolkata,2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,1,Mumbai Indians,RG Sharma,305.0
2012-05-13,Chandigarh,2012,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,DJ Hussey,306.0
2012-05-13,Jaipur,2012,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,A Chandila,307.0
2012-05-14,Bangalore,2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,1,Mumbai Indians,AT Rayudu,308.0
2012-05-14,Kolkata,2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Eden Gardens,1,Chennai Super Kings,MEK Hussey,309.0
2012-05-15,Delhi,2012,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,bat,Feroz Shah Kotla,1,Delhi Daredevils,UT Yadav,310.0
2012-05-16,Mumbai,2012,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,1,Kolkata Knight Riders,SP Narine,311.0
2012-05-17,Delhi,2012,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,field,Feroz Shah Kotla,1,Royal Challengers Bangalore,CH Gayle,312.0
2012-05-17,Dharamsala,2012,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,AC Gilchrist,313.0
2012-05-18,Hyderabad,2012,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,DW Steyn,314.0
2012-05-19,Dharamsala,2012,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Himachal Pradesh Cricket Association Stadium,1,Delhi Daredevils,UT Yadav,315.0
2012-05-19,Pune,2012,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Shakib Al Hasan,316.0
2012-05-20,Hyderabad,2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,DW Steyn,317.0
2012-05-20,Jaipur,2012,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Sawai Mansingh Stadium,1,Mumbai Indians,DR Smith,318.0
2012-05-22,Pune,2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,YK Pathan,319.0
